dataset_id,query_id,chunk_strategy,search_method,top_k,relevant_memory_ids,retrieved_memory_ids,recall_at_k,contains_answer,retrieval_latency_ms
synthetic-life-memories-v1,q_school_graduation,256,dense,3,eval_school_graduation,eval_school_entrance|eval_school_graduation|eval_first_job,1.0000,1,0.4922
synthetic-life-memories-v1,q_school_graduation,256,dense,5,eval_school_graduation,eval_school_entrance|eval_school_graduation|eval_first_job|eval_running_event|eval_cooking_class,1.0000,1,0.4922
synthetic-life-memories-v1,q_school_graduation,256,dense,10,eval_school_graduation,eval_school_entrance|eval_school_graduation|eval_first_job|eval_running_event|eval_cooking_class|eval_garden_project|eval_beach_trip|eval_train_trip|eval_house_move|eval_mountain_hike,1.0000,1,0.4922
synthetic-life-memories-v1,q_first_work,256,dense,3,eval_first_job,eval_first_job|eval_volunteer_library|eval_school_entrance,1.0000,1,0.3557
synthetic-life-memories-v1,q_first_work,256,dense,5,eval_first_job,eval_first_job|eval_volunteer_library|eval_school_entrance|eval_school_graduation|eval_online_course,1.0000,1,0.3557
synthetic-life-memories-v1,q_first_work,256,dense,10,eval_first_job,eval_first_job|eval_volunteer_library|eval_school_entrance|eval_school_graduation|eval_online_course|eval_running_event|eval_cooking_class|eval_garden_project|eval_train_trip|eval_house_move,1.0000,1,0.3557
synthetic-life-memories-v1,q_seaside,256,dense,3,eval_beach_trip,eval_beach_trip|eval_cooking_class|eval_volunteer_library,1.0000,1,0.3382
synthetic-life-memories-v1,q_seaside,256,dense,5,eval_beach_trip,eval_beach_trip|eval_cooking_class|eval_volunteer_library|eval_house_move|eval_mountain_hike,1.0000,1,0.3382
synthetic-life-memories-v1,q_seaside,256,dense,10,eval_beach_trip,eval_beach_trip|eval_cooking_class|eval_volunteer_library|eval_house_move|eval_mountain_hike|eval_online_course|eval_first_job|eval_school_entrance|eval_school_graduation|eval_garden_project,1.0000,1,0.3382
synthetic-life-memories-v1,q_relocation,256,dense,3,eval_house_move,eval_house_move|eval_mountain_hike|eval_volunteer_library,1.0000,1,0.3276
