dataset_id,query_id,chunk_strategy,search_method,top_k,answer,cited_memory_ids,citation_correctness,unsupported_answer,end_to_end_latency_ms
synthetic-life-memories-v1,q_school_graduation,256,dense,3,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_school_entrance,0.0000,1,0.4943
synthetic-life-memories-v1,q_school_graduation,256,dense,5,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_school_entrance,0.0000,1,0.4931
synthetic-life-memories-v1,q_school_graduation,256,dense,10,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_school_entrance,0.0000,1,0.4926
synthetic-life-memories-v1,q_first_work,256,dense,3,검색된 합성 기억을 근거로 답변했습니다.,eval_first_job,1.0000,0,0.3563
synthetic-life-memories-v1,q_first_work,256,dense,5,검색된 합성 기억을 근거로 답변했습니다.,eval_first_job,1.0000,0,0.3560
synthetic-life-memories-v1,q_first_work,256,dense,10,검색된 합성 기억을 근거로 답변했습니다.,eval_first_job,1.0000,0,0.3559
synthetic-life-memories-v1,q_seaside,256,dense,3,검색된 합성 기억을 근거로 답변했습니다.,eval_beach_trip,1.0000,0,0.3386
synthetic-life-memories-v1,q_seaside,256,dense,5,검색된 합성 기억을 근거로 답변했습니다.,eval_beach_trip,1.0000,0,0.3384
synthetic-life-memories-v1,q_seaside,256,dense,10,검색된 합성 기억을 근거로 답변했습니다.,eval_beach_trip,1.0000,0,0.3385
synthetic-life-memories-v1,q_relocation,256,dense,3,검색된 합성 기억을 근거로 답변했습니다.,eval_house_move,1.0000,0,0.3279
synthetic-life-memories-v1,q_relocation,256,dense,5,검색된 합성 기억을 근거로 답변했습니다.,eval_house_move,1.0000,0,0.3278
synthetic-life-memories-v1,q_relocation,256,dense,10,검색된 합성 기억을 근거로 답변했습니다.,eval_house_move,1.0000,0,0.3278
synthetic-life-memories-v1,q_library,256,dense,3,검색된 합성 기억을 근거로 답변했습니다.,eval_volunteer_library,1.0000,0,0.3311
synthetic-life-memories-v1,q_library,256,dense,5,검색된 합성 기억을 근거로 답변했습니다.,eval_volunteer_library,1.0000,0,0.3309
synthetic-life-memories-v1,q_library,256,dense,10,검색된 합성 기억을 근거로 답변했습니다.,eval_volunteer_library,1.0000,0,0.3309
synthetic-life-memories-v1,q_programming,256,dense,3,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_volunteer_library,0.0000,1,0.3492
synthetic-life-memories-v1,q_programming,256,dense,5,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_volunteer_library,0.0000,1,0.3490
synthetic-life-memories-v1,q_programming,256,dense,10,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_volunteer_library,0.0000,1,0.3490
synthetic-life-memories-v1,q_gardening,256,dense,3,검색된 합성 기억을 근거로 답변했습니다.,eval_garden_project,1.0000,0,0.3341
synthetic-life-memories-v1,q_gardening,256,dense,5,검색된 합성 기억을 근거로 답변했습니다.,eval_garden_project,1.0000,0,0.3340
synthetic-life-memories-v1,q_gardening,256,dense,10,검색된 합성 기억을 근거로 답변했습니다.,eval_garden_project,1.0000,0,0.3339
synthetic-life-memories-v1,q_running,256,dense,3,검색된 합성 기억을 근거로 답변했습니다.,eval_running_event,1.0000,0,0.3165
synthetic-life-memories-v1,q_running,256,dense,5,검색된 합성 기억을 근거로 답변했습니다.,eval_running_event,1.0000,0,0.3164
synthetic-life-memories-v1,q_running,256,dense,10,검색된 합성 기억을 근거로 답변했습니다.,eval_running_event,1.0000,0,0.3164
synthetic-life-memories-v1,q_school_graduation,256,mmr,3,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_school_entrance,0.0000,1,1.8187
synthetic-life-memories-v1,q_school_graduation,256,mmr,5,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_school_entrance,0.0000,1,1.8185
synthetic-life-memories-v1,q_school_graduation,256,mmr,10,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_school_entrance,0.0000,1,1.8185
synthetic-life-memories-v1,q_first_work,256,mmr,3,검색된 합성 기억을 근거로 답변했습니다.,eval_first_job,1.0000,0,1.8038
synthetic-life-memories-v1,q_first_work,256,mmr,5,검색된 합성 기억을 근거로 답변했습니다.,eval_first_job,1.0000,0,1.8036
synthetic-life-memories-v1,q_first_work,256,mmr,10,검색된 합성 기억을 근거로 답변했습니다.,eval_first_job,1.0000,0,1.8036
synthetic-life-memories-v1,q_seaside,256,mmr,3,검색된 합성 기억을 근거로 답변했습니다.,eval_beach_trip,1.0000,0,1.8184
synthetic-life-memories-v1,q_seaside,256,mmr,5,검색된 합성 기억을 근거로 답변했습니다.,eval_beach_trip,1.0000,0,1.8183
synthetic-life-memories-v1,q_seaside,256,mmr,10,검색된 합성 기억을 근거로 답변했습니다.,eval_beach_trip,1.0000,0,1.8182
synthetic-life-memories-v1,q_relocation,256,mmr,3,검색된 합성 기억을 근거로 답변했습니다.,eval_house_move,1.0000,0,1.8508
synthetic-life-memories-v1,q_relocation,256,mmr,5,검색된 합성 기억을 근거로 답변했습니다.,eval_house_move,1.0000,0,1.8506
synthetic-life-memories-v1,q_relocation,256,mmr,10,검색된 합성 기억을 근거로 답변했습니다.,eval_house_move,1.0000,0,1.8506
synthetic-life-memories-v1,q_library,256,mmr,3,검색된 합성 기억을 근거로 답변했습니다.,eval_volunteer_library,1.0000,0,1.8520
synthetic-life-memories-v1,q_library,256,mmr,5,검색된 합성 기억을 근거로 답변했습니다.,eval_volunteer_library,1.0000,0,1.8519
synthetic-life-memories-v1,q_library,256,mmr,10,검색된 합성 기억을 근거로 답변했습니다.,eval_volunteer_library,1.0000,0,1.8519
synthetic-life-memories-v1,q_programming,256,mmr,3,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_volunteer_library,0.0000,1,1.8527
synthetic-life-memories-v1,q_programming,256,mmr,5,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_volunteer_library,0.0000,1,1.8526
synthetic-life-memories-v1,q_programming,256,mmr,10,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_volunteer_library,0.0000,1,1.8526
synthetic-life-memories-v1,q_gardening,256,mmr,3,검색된 합성 기억을 근거로 답변했습니다.,eval_garden_project,1.0000,0,1.8802
synthetic-life-memories-v1,q_gardening,256,mmr,5,검색된 합성 기억을 근거로 답변했습니다.,eval_garden_project,1.0000,0,1.8801
synthetic-life-memories-v1,q_gardening,256,mmr,10,검색된 합성 기억을 근거로 답변했습니다.,eval_garden_project,1.0000,0,1.8800
synthetic-life-memories-v1,q_running,256,mmr,3,검색된 합성 기억을 근거로 답변했습니다.,eval_running_event,1.0000,0,1.8629
synthetic-life-memories-v1,q_running,256,mmr,5,검색된 합성 기억을 근거로 답변했습니다.,eval_running_event,1.0000,0,1.8626
synthetic-life-memories-v1,q_running,256,mmr,10,검색된 합성 기억을 근거로 답변했습니다.,eval_running_event,1.0000,0,1.8626
synthetic-life-memories-v1,q_school_graduation,256,bm25,3,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_school_entrance,0.0000,1,0.7318
synthetic-life-memories-v1,q_school_graduation,256,bm25,5,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_school_entrance,0.0000,1,0.7316
synthetic-life-memories-v1,q_school_graduation,256,bm25,10,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_school_entrance,0.0000,1,0.7316
synthetic-life-memories-v1,q_first_work,256,bm25,3,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_volunteer_library,0.0000,1,0.5715
synthetic-life-memories-v1,q_first_work,256,bm25,5,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_volunteer_library,0.0000,1,0.5713
synthetic-life-memories-v1,q_first_work,256,bm25,10,검색 결과가 정답 기억을 뒷받침하지 못했습니다.,eval_volunteer_library,0.0000,1,0.5713
